CourseId,CourseName,AcadimicYear,DepartmentId,DepartmentName,EnrollmentCount
1,Database Management,2021-2022,4,Engineering,1
1,Database Management,2022-2023,1,Computer Science,1
2,Statistics,2021-2022,5,Art,1
2,Statistics,2021-2022,6,Music,1
2,Statistics,2022-2023,2,Mathematics,1
3,Organic Chemistry,2022-2023,3,Physics,1
4,Cell Biology,2022-2023,4,Engineering,1
5,Medieval History,2022-2023,5,Art,1
6,Shakespearean Literature,2022-2023,6,Music,1
7,Microeconomics,2022-2023,1,Computer Science,1
8,Cognitive Psychology,2022-2023,2,Mathematics,1
9,Mechanical Engineering,2022-2023,3,Physics,1
